Generated DX Campaign 200
Generated: 2026-07-29 14:52:16
Cadence: 4 Easy, 1 Hard, 4 Easy, 1 Very Hard.
Easy uses Complex Guided DX. Hard and Very Hard use Complex Guided DX Flow.
Exactly 50 deterministic random campaign positions use custom board shapes.
Coverage target: 100% of every active board cell.

001. 1_Level_EZ_1 [EASY]: 10x9 Rectangle, DX complexity 66%, 14 arrows, 90/90 cells (100.0 %), waves 9, widest 2, >2 waves 0, initial 2, avg turns 2.21, longest 12, cross T>B 2/B>T 1, L>R 2/R>L 1, regions 6, streak 2, backtrack H5/V3, seed campaign.
090. 90_Level_VH_9 [VERY HARD]: 29x28 Rectangle, DX Flow complexity 100%, 53 arrows, 812/812 cells (100.0 %), waves 27, widest 4, >2 waves 5, initial 2, avg turns 4.42, longest 38, cross T>B 4/B>T 1, L>R 1/R>L 3, regions 10, streak 6, backtrack H11/V13, seed campaign.
091. 91_Level_EZ_73 [EASY]: 28x27 Shield, DX complexity 100%, 47 arrows, 550/550 cells (100.0 %), waves 29, widest 4, >2 waves 3, initial 4, avg turns 3.09, longest 28, cross T>B 2/B>T 4, L>R 4/R>L 2, regions 11, streak 8, backtrack H16/V13, seed campaign.
092. 92_Level_EZ_74 [EASY]: 29x27 Rectangle, DX complexity 100%, 47 arrows, 783/783 cells (100.0 %), waves 25, widest 5, >2 waves 6, initial 2, avg turns 5.23, longest 35, cross T>B 6/B>T 4, L>R 2/R>L 5, regions 7, streak 7, backtrack H9/V11, seed campaign.
093. 93_Level_EZ_75 [EASY]: 29x28 TwinStacks, DX complexity 100%, 43 arrows, 649/649 cells (100.0 %), waves 24, widest 4, >2 waves 5, initial 2, avg turns 4.09, longest 31, cross T>B 0/B>T 1, L>R 6/R>L 3, regions 9, streak 6, backtrack H9/V12, seed campaign.
094. 94_Level_EZ_76 [EASY]: 30x28 Rectangle, DX complexity 100%, 57 arrows, 840/840 cells (100.0 %), waves 22, widest 5, >2 waves 10, initial 1, avg turns 4.60, longest 36, cross T>B 6/B>T 2, L>R 4/R>L 6, regions 10, streak 6, backtrack H9/V11, seed campaign.
095. 95_Level_H_10 [HARD]: 29x28 Rectangle, DX Flow complexity 100%, 54 arrows, 812/812 cells (100.0 %), waves 31, widest 6, >2 waves 5, initial 2, avg turns 4.13, longest 39, cross T>B 7/B>T 3, L>R 1/R>L 5, regions 9, streak 10, backtrack H19/V13, seed campaign.
096. 96_Level_EZ_77 [EASY]: 29x28 TwinBlocks, DX complexity 100%, 44 arrows, 662/662 cells (100.0 %), waves 18, widest 4, >2 waves 8, initial 2, avg turns 3.80, longest 31, cross T>B 5/B>T 4, L>R 0/R>L 1, regions 8, streak 5, backtrack H8/V7, seed campaign.
097. 97_Level_EZ_78 [EASY]: 30x28 Rectangle, DX complexity 100%, 54 arrows, 840/840 cells (100.0 %), waves 27, widest 5, >2 waves 8, initial 2, avg turns 4.09, longest 36, cross T>B 3/B>T 2, L>R 3/R>L 7, regions 10, streak 5, backtrack H8/V14, seed campaign.
098. 98_Level_EZ_79 [EASY]: 30x29 Dumbbell, DX complexity 100%, 42 arrows, 550/550 cells (100.0 %), waves 24, widest 3, >2 waves 2, initial 2, avg turns 2.83, longest 28, cross T>B 5/B>T 2, L>R 4/R>L 0, regions 8, streak 5, backtrack H13/V9, seed campaign.
099. 99_Level_EZ_80 [EASY]: 31x29 Rectangle, DX complexity 100%, 55 arrows, 899/899 cells (100.0 %), waves 27, widest 6, >2 waves 5, initial 2, avg turns 3.56, longest 37, cross T>B 7/B>T 6, L>R 5/R>L 7, regions 12, streak 6, backtrack H19/V11, seed campaign.
100. 100_Level_VH_10 [VERY HARD]: 31x30 Rectangle, DX Flow complexity 100%, 53 arrows, 930/930 cells (100.0 %), waves 27, widest 4, >2 waves 4, initial 2, avg turns 4.21, longest 40, cross T>B 3/B>T 6, L>R 6/R>L 5, regions 14, streak 6, backtrack H18/V11, seed campaign.
101. 101_Level_EZ_81 [EASY]: 31x30 Beveled, DX complexity 100%, 54 arrows, 884/884 cells (100.0 %), waves 23, widest 5, >2 waves 8, initial 3, avg turns 4.76, longest 37, cross T>B 6/B>T 6, L>R 6/R>L 7, regions 10, streak 4, backtrack H11/V13, seed campaign.
102. 102_Level_EZ_82 [EASY]: 32x30 Staircase, DX complexity 100%, 50 arrows, 719/719 cells (100.0 %), waves 28, widest 5, >2 waves 6, initial 3, avg turns 4.34, longest 33, cross T>B 6/B>T 3, L>R 8/R>L 3, regions 12, streak 6, backtrack H10/V15, seed campaign.
103. 103_Level_EZ_83 [EASY]: 32x31 Rectangle, DX complexity 100%, 64 arrows, 992/992 cells (100.0 %), waves 30, widest 4, >2 waves 8, initial 2, avg turns 3.63, longest 36, cross T>B 10/B>T 11, L>R 2/R>L 4, regions 11, streak 7, backtrack H15/V16, seed campaign.
104. 104_Level_EZ_84 [EASY]: 33x31 Beveled, DX complexity 100%, 70 arrows, 983/983 cells (100.0 %), waves 29, widest 5, >2 waves 12, initial 4, avg turns 4.64, longest 37, cross T>B 2/B>T 5, L>R 7/R>L 5, regions 12, streak 5, backtrack H12/V14, seed campaign.
105. 105_Level_H_11 [HARD]: 31x30 Rectangle, DX Flow complexity 100%, 56 arrows, 930/930 cells (100.0 %), waves 32, widest 5, >2 waves 4, initial 2, avg turns 4.75, longest 40, cross T>B 2/B>T 5, L>R 3/R>L 6, regions 14, streak 9, backtrack H18/V16, seed campaign.
106. 106_Level_EZ_85 [EASY]: 32x31 Oval, DX complexity 100%, 55 arrows, 906/906 cells (100.0 %), waves 32, widest 4, >2 waves 5, initial 3, avg turns 4.40, longest 37, cross T>B 4/B>T 5, L>R 7/R>L 1, regions 12, streak 10, backtrack H14/V16, seed campaign.
107. 107_Level_EZ_86 [EASY]: 33x31 Rectangle, DX complexity 100%, 67 arrows, 1023/1023 cells (100.0 %), waves 32, widest 5, >2 waves 7, initial 2, avg turns 4.30, longest 36, cross T>B 3/B>T 5, L>R 6/R>L 3, regions 8, streak 7, backtrack H15/V16, seed campaign.
108. 108_Level_EZ_87 [EASY]: 33x32 LShape, DX complexity 100%, 46 arrows, 572/572 cells (100.0 %), waves 30, widest 3, >2 waves 1, initial 2, avg turns 3.35, longest 27, cross T>B 2/B>T 1, L>R 2/R>L 2, regions 5, streak 8, backtrack H12/V12, seed campaign.
109. 109_Level_EZ_88 [EASY]: 34x32 Rectangle, DX complexity 100%, 69 arrows, 1088/1088 cells (100.0 %), waves 36, widest 5, >2 waves 7, initial 2, avg turns 3.72, longest 36, cross T>B 6/B>T 6, L>R 3/R>L 3, regions 12, streak 9, backtrack H13/V17, seed campaign.
110. 110_Level_VH_11 [VERY HARD]: 33x32 Rectangle, DX Flow complexity 100%, 60 arrows, 1056/1056 cells (100.0 %), waves 33, widest 4, >2 waves 5, initial 2, avg turns 5.32, longest 40, cross T>B 2/B>T 6, L>R 3/R>L 3, regions 9, streak 10, backtrack H15/V19, seed campaign.
111. 111_Level_EZ_89 [EASY]: 33x32 Shield, DX complexity 100%, 53 arrows, 755/755 cells (100.0 %), waves 22, widest 5, >2 waves 7, initial 5, avg turns 3.79, longest 36, cross T>B 3/B>T 6, L>R 3/R>L 4, regions 6, streak 7, backtrack H8/V14, seed campaign.
112. 112_Level_EZ_90 [EASY]: 34x32 Rectangle, DX complexity 100%, 60 arrows, 1088/1088 cells (100.0 %), waves 28, widest 6, >2 waves 8, initial 2, avg turns 5.28, longest 36, cross T>B 3/B>T 6, L>R 7/R>L 3, regions 6, streak 9, backtrack H15/V13, seed campaign.
113. 113_Level_EZ_91 [EASY]: 34x33 TwinStacks, DX complexity 100%, 61 arrows, 896/896 cells (100.0 %), waves 29, widest 4, >2 waves 10, initial 2, avg turns 3.95, longest 36, cross T>B 1/B>T 0, L>R 5/R>L 4, regions 10, streak 5, backtrack H11/V15, seed campaign.
114. 114_Level_EZ_92 [EASY]: 35x33 Cross, DX complexity 100%, 47 arrows, 627/627 cells (100.0 %), waves 30, widest 4, >2 waves 3, initial 3, avg turns 4.21, longest 29, cross T>B 4/B>T 3, L>R 6/R>L 4, regions 12, streak 6, backtrack H19/V14, seed campaign.
115. 115_Level_H_12 [HARD]: 33x32 Rectangle, DX Flow complexity 100%, 53 arrows, 1056/1056 cells (100.0 %), waves 30, widest 4, >2 waves 6, initial 2, avg turns 4.92, longest 40, cross T>B 2/B>T 3, L>R 5/R>L 3, regions 10, streak 6, backtrack H16/V15, seed campaign.
116. 116_Level_EZ_93 [EASY]: 34x33 TwinBlocks, DX complexity 100%, 68 arrows, 990/990 cells (100.0 %), waves 30, widest 5, >2 waves 11, initial 2, avg turns 4.34, longest 36, cross T>B 3/B>T 5, L>R 2/R>L 4, regions 8, streak 9, backtrack H11/V13, seed campaign.
117. 117_Level_EZ_94 [EASY]: 35x33 Rectangle, DX complexity 100%, 73 arrows, 1155/1155 cells (100.0 %), waves 38, widest 5, >2 waves 9, initial 4, avg turns 4.10, longest 36, cross T>B 2/B>T 3, L>R 6/R>L 2, regions 8, streak 9, backtrack H18/V14, seed campaign.
118. 118_Level_EZ_95 [EASY]: 35x34 Dumbbell, DX complexity 100%, 55 arrows, 805/805 cells (100.0 %), waves 30, widest 5, >2 waves 6, initial 2, avg turns 4.36, longest 34, cross T>B 6/B>T 8, L>R 2/R>L 1, regions 13, streak 7, backtrack H17/V17, seed campaign.
119. 119_Level_EZ_96 [EASY]: 36x34 Rectangle, DX complexity 100%, 71 arrows, 1224/1224 cells (100.0 %), waves 30, widest 6, >2 waves 12, initial 2, avg turns 5.14, longest 37, cross T>B 5/B>T 1, L>R 4/R>L 5, regions 8, streak 10, backtrack H12/V12, seed campaign.
120. 120_Level_VH_12 [VERY HARD]: 35x34 Rectangle, DX Flow complexity 100%, 64 arrows, 1190/1190 cells (100.0 %), waves 30, widest 4, >2 waves 8, initial 2, avg turns 5.45, longest 40, cross T>B 3/B>T 6, L>R 5/R>L 5, regions 8, streak 7, backtrack H15/V17, seed campaign.
121. 121_Level_EZ_97 [EASY]: 36x35 Beveled, DX complexity 100%, 77 arrows, 1225/1225 cells (100.0 %), waves 30, widest 9, >2 waves 14, initial 3, avg turns 4.58, longest 38, cross T>B 5/B>T 5, L>R 7/R>L 3, regions 10, streak 4, backtrack H13/V15, seed campaign.
122. 122_Level_EZ_98 [EASY]: 37x35 Staircase, DX complexity 100%, 60 arrows, 1050/1050 cells (100.0 %), waves 27, widest 5, >2 waves 10, initial 2, avg turns 5.45, longest 36, cross T>B 1/B>T 0, L>R 6/R>L 3, regions 11, streak 6, backtrack H13/V13, seed campaign.
123. 123_Level_EZ_99 [EASY]: 37x36 Rectangle, DX complexity 100%, 76 arrows, 1332/1332 cells (100.0 %), waves 34, widest 6, >2 waves 12, initial 4, avg turns 4.24, longest 36, cross T>B 4/B>T 7, L>R 6/R>L 7, regions 9, streak 9, backtrack H15/V16, seed campaign.
124. 124_Level_EZ_100 [EASY]: 38x36 Rectangle, DX complexity 100%, 77 arrows, 1368/1368 cells (100.0 %), waves 41, widest 4, >2 waves 8, initial 1, avg turns 5.06, longest 36, cross T>B 4/B>T 4, L>R 5/R>L 8, regions 16, streak 6, backtrack H19/V22, seed campaign.
125. 125_Level_H_13 [HARD]: 35x34 Rectangle, DX Flow complexity 100%, 69 arrows, 1190/1190 cells (100.0 %), waves 28, widest 5, >2 waves 12, initial 3, avg turns 4.10, longest 40, cross T>B 5/B>T 6, L>R 5/R>L 5, regions 12, streak 4, backtrack H15/V13, seed campaign.
126. 126_Level_EZ_101 [EASY]: 37x36 LShape, DX complexity 100%, 48 arrows, 780/780 cells (100.0 %), waves 24, widest 6, >2 waves 6, initial 2, avg turns 3.71, longest 32, cross T>B 1/B>T 1, L>R 1/R>L 3, regions 9, streak 7, backtrack H9/V10, seed campaign.
127. 127_Level_EZ_102 [EASY]: 38x36 TwinBlocks, DX complexity 100%, 70 arrows, 1253/1253 cells (100.0 %), waves 29, widest 5, >2 waves 12, initial 2, avg turns 5.27, longest 36, cross T>B 7/B>T 7, L>R 0/R>L 1, regions 9, streak 7, backtrack H12/V13, seed campaign.
128. 128_Level_EZ_103 [EASY]: 38x37 TwinBlocks, DX complexity 100%, 73 arrows, 1107/1107 cells (100.0 %), waves 34, widest 5, >2 waves 10, initial 4, avg turns 4.33, longest 38, cross T>B 4/B>T 7, L>R 0/R>L 0, regions 17, streak 6, backtrack H15/V16, seed campaign.
129. 129_Level_EZ_104 [EASY]: 39x37 Rectangle, DX complexity 100%, 87 arrows, 1443/1443 cells (100.0 %), waves 47, widest 4, >2 waves 11, initial 2, avg turns 3.84, longest 36, cross T>B 2/B>T 3, L>R 7/R>L 10, regions 12, streak 10, backtrack H24/V37, seed campaign.
130. 130_Level_VH_13 [VERY HARD]: 37x36 Rectangle, DX Flow complexity 100%, 80 arrows, 1332/1332 cells (100.0 %), waves 38, widest 5, >2 waves 9, initial 2, avg turns 4.45, longest 40, cross T>B 3/B>T 5, L>R 7/R>L 3, regions 4, streak 11, backtrack H21/V17, seed campaign.
131. 131_Level_EZ_105 [EASY]: 38x37 TwinBlocks, DX complexity 100%, 68 arrows, 1176/1176 cells (100.0 %), waves 36, widest 4, >2 waves 9, initial 3, avg turns 4.88, longest 37, cross T>B 2/B>T 4, L>R 3/R>L 1, regions 13, streak 6, backtrack H20/V21, seed campaign.
132. 132_Level_EZ_106 [EASY]: 39x37 Rectangle, DX complexity 100%, 86 arrows, 1443/1443 cells (100.0 %), waves 31, widest 7, >2 waves 14, initial 3, avg turns 4.74, longest 38, cross T>B 5/B>T 6, L>R 6/R>L 6, regions 10, streak 8, backtrack H14/V11, seed campaign.
133. 133_Level_EZ_107 [EASY]: 39x38 Cross, DX complexity 100%, 55 arrows, 834/834 cells (100.0 %), waves 29, widest 5, >2 waves 6, initial 2, avg turns 4.89, longest 35, cross T>B 4/B>T 6, L>R 2/R>L 5, regions 11, streak 5, backtrack H12/V12, seed campaign.
134. 134_Level_EZ_108 [EASY]: 40x38 LShape, DX complexity 100%, 63 arrows, 844/844 cells (100.0 %), waves 38, widest 4, >2 waves 3, initial 2, avg turns 2.97, longest 33, cross T>B 1/B>T 3, L>R 3/R>L 1, regions 13, streak 7, backtrack H19/V18, seed campaign.
135. 135_Level_H_14 [HARD]: 37x36 Rectangle, DX Flow complexity 100%, 74 arrows, 1332/1332 cells (100.0 %), waves 30, widest 6, >2 waves 11, initial 2, avg turns 4.46, longest 40, cross T>B 6/B>T 5, L>R 3/R>L 6, regions 10, streak 6, backtrack H12/V13, seed campaign.
136. 136_Level_EZ_109 [EASY]: 39x38 Dumbbell, DX complexity 100%, 49 arrows, 945/945 cells (100.0 %), waves 24, widest 4, >2 waves 7, initial 2, avg turns 6.20, longest 36, cross T>B 5/B>T 2, L>R 1/R>L 2, regions 6, streak 8, backtrack H8/V12, seed campaign.
137. 137_Level_EZ_110 [EASY]: 38x37 Rectangle, DX complexity 100%, 83 arrows, 1406/1406 cells (100.0 %), waves 44, widest 4, >2 waves 6, initial 2, avg turns 4.99, longest 36, cross T>B 4/B>T 3, L>R 6/R>L 4, regions 14, streak 5, backtrack H23/V19, seed campaign.
138. 138_Level_EZ_111 [EASY]: 39x37 LShape, DX complexity 100%, 54 arrows, 818/818 cells (100.0 %), waves 26, widest 4, >2 waves 8, initial 2, avg turns 3.89, longest 34, cross T>B 3/B>T 3, L>R 4/R>L 2, regions 6, streak 8, backtrack H13/V17, seed campaign.
139. 139_Level_EZ_112 [EASY]: 39x37 Rectangle, DX complexity 100%, 89 arrows, 1443/1443 cells (100.0 %), waves 37, widest 7, >2 waves 13, initial 2, avg turns 4.64, longest 37, cross T>B 4/B>T 7, L>R 8/R>L 8, regions 11, streak 9, backtrack H21/V17, seed campaign.
140. 140_Level_VH_14 [VERY HARD]: 39x38 Rectangle, DX Flow complexity 100%, 87 arrows, 1482/1482 cells (100.0 %), waves 39, widest 5, >2 waves 13, initial 2, avg turns 4.22, longest 41, cross T>B 7/B>T 5, L>R 6/R>L 6, regions 17, streak 7, backtrack H19/V19, seed campaign.
141. 141_Level_EZ_113 [EASY]: 39x37 LShape, DX complexity 100%, 54 arrows, 793/793 cells (100.0 %), waves 32, widest 4, >2 waves 5, initial 2, avg turns 3.96, longest 32, cross T>B 2/B>T 3, L>R 4/R>L 1, regions 8, streak 11, backtrack H16/V17, seed campaign.
142. 142_Level_EZ_114 [EASY]: 39x37 Staircase, DX complexity 100%, 62 arrows, 1147/1147 cells (100.0 %), waves 35, widest 5, >2 waves 6, initial 2, avg turns 4.68, longest 36, cross T>B 4/B>T 7, L>R 3/R>L 7, regions 11, streak 11, backtrack H22/V18, seed campaign.
143. 143_Level_EZ_115 [EASY]: 38x36 Rectangle, DX complexity 100%, 87 arrows, 1368/1368 cells (100.0 %), waves 42, widest 5, >2 waves 14, initial 1, avg turns 3.34, longest 36, cross T>B 6/B>T 10, L>R 3/R>L 2, regions 12, streak 7, backtrack H23/V23, seed campaign.
144. 144_Level_EZ_116 [EASY]: 38x37 LShape, DX complexity 100%, 52 arrows, 756/756 cells (100.0 %), waves 26, widest 7, >2 waves 6, initial 2, avg turns 3.71, longest 32, cross T>B 3/B>T 3, L>R 2/R>L 3, regions 5, streak 7, backtrack H11/V13, seed campaign.
145. 145_Level_H_15 [HARD]: 39x38 Rectangle, DX Flow complexity 100%, 80 arrows, 1482/1482 cells (100.0 %), waves 36, widest 6, >2 waves 11, initial 2, avg turns 5.39, longest 40, cross T>B 9/B>T 9, L>R 2/R>L 5, regions 10, streak 9, backtrack H14/V13, seed campaign.
146. 146_Level_EZ_117 [EASY]: 39x36 LShape, DX complexity 100%, 54 arrows, 780/780 cells (100.0 %), waves 23, widest 6, >2 waves 7, initial 2, avg turns 3.85, longest 32, cross T>B 1/B>T 2, L>R 2/R>L 3, regions 4, streak 6, backtrack H11/V7, seed campaign.
147. 147_Level_EZ_118 [EASY]: 39x37 Rectangle, DX complexity 100%, 89 arrows, 1443/1443 cells (100.0 %), waves 41, widest 4, >2 waves 12, initial 2, avg turns 4.84, longest 38, cross T>B 4/B>T 7, L>R 2/R>L 6, regions 15, streak 8, backtrack H21/V23, seed campaign.
148. 148_Level_EZ_119 [EASY]: 39x37 TwinBlocks, DX complexity 100%, 74 arrows, 1143/1143 cells (100.0 %), waves 38, widest 5, >2 waves 8, initial 2, avg turns 4.76, longest 36, cross T>B 6/B>T 3, L>R 2/R>L 0, regions 12, streak 9, backtrack H14/V20, seed campaign.
149. 149_Level_EZ_120 [EASY]: 36x35 Rectangle, DX complexity 100%, 74 arrows, 1260/1260 cells (100.0 %), waves 24, widest 10, >2 waves 12, initial 2, avg turns 4.53, longest 36, cross T>B 7/B>T 5, L>R 3/R>L 3, regions 9, streak 7, backtrack H11/V9, seed campaign.
150. 150_Level_VH_15 [VERY HARD]: 39x38 Rectangle, DX Flow complexity 100%, 88 arrows, 1482/1482 cells (100.0 %), waves 40, widest 6, >2 waves 12, initial 2, avg turns 4.63, longest 42, cross T>B 5/B>T 2, L>R 5/R>L 5, regions 15, streak 8, backtrack H24/V19, seed campaign.
151. 151_Level_EZ_121 [EASY]: 36x35 LShape, DX complexity 100%, 47 arrows, 708/708 cells (100.0 %), waves 29, widest 4, >2 waves 4, initial 2, avg turns 3.83, longest 30, cross T>B 3/B>T 1, L>R 2/R>L 2, regions 9, streak 13, backtrack H17/V12, seed campaign.
152. 152_Level_EZ_122 [EASY]: 37x35 TwinBlocks, DX complexity 100%, 59 arrows, 982/982 cells (100.0 %), waves 31, widest 5, >2 waves 6, initial 2, avg turns 4.47, longest 36, cross T>B 4/B>T 7, L>R 1/R>L 1, regions 13, streak 4, backtrack H16/V13, seed campaign.
153. 153_Level_EZ_123 [EASY]: 37x36 Rectangle, DX complexity 100%, 88 arrows, 1332/1332 cells (100.0 %), waves 39, widest 6, >2 waves 14, initial 2, avg turns 4.43, longest 36, cross T>B 3/B>T 5, L>R 10/R>L 4, regions 15, streak 8, backtrack H13/V14, seed campaign.
154. 154_Level_EZ_124 [EASY]: 38x36 Staircase, DX complexity 100%, 71 arrows, 1116/1116 cells (100.0 %), waves 30, widest 5, >2 waves 12, initial 2, avg turns 4.27, longest 36, cross T>B 2/B>T 4, L>R 3/R>L 5, regions 11, streak 5, backtrack H11/V14, seed campaign.
155. 155_Level_H_16 [HARD]: 37x36 Rectangle, DX Flow complexity 100%, 81 arrows, 1332/1332 cells (100.0 %), waves 37, widest 6, >2 waves 12, initial 2, avg turns 5.02, longest 41, cross T>B 8/B>T 7, L>R 3/R>L 7, regions 15, streak 5, backtrack H18/V14, seed campaign.
156. 156_Level_EZ_125 [EASY]: 35x35 Cross, DX complexity 100%, 45 arrows, 697/697 cells (100.0 %), waves 22, widest 4, >2 waves 6, initial 2, avg turns 4.53, longest 31, cross T>B 4/B>T 4, L>R 6/R>L 5, regions 12, streak 4, backtrack H14/V12, seed campaign.
157. 157_Level_EZ_126 [EASY]: 37x35 Rectangle, DX complexity 100%, 72 arrows, 1224/1224 cells (100.0 %), waves 28, widest 5, >2 waves 12, initial 2, avg turns 4.79, longest 36, cross T>B 4/B>T 6, L>R 8/R>L 5, regions 13, streak 4, backtrack H10/V13, seed campaign.
158. 158_Level_EZ_127 [EASY]: 37x36 Dumbbell, DX complexity 100%, 59 arrows, 835/835 cells (100.0 %), waves 21, widest 6, >2 waves 8, initial 2, avg turns 3.64, longest 35, cross T>B 2/B>T 10, L>R 4/R>L 2, regions 11, streak 4, backtrack H12/V9, seed campaign.
159. 159_Level_EZ_128 [EASY]: 38x36 Rectangle, DX complexity 100%, 79 arrows, 1368/1368 cells (100.0 %), waves 36, widest 6, >2 waves 11, initial 2, avg turns 3.91, longest 36, cross T>B 4/B>T 5, L>R 5/R>L 4, regions 12, streak 7, backtrack H12/V19, seed campaign.
160. 160_Level_VH_16 [VERY HARD]: 38x37 Rectangle, DX Flow complexity 100%, 66 arrows, 1260/1260 cells (100.0 %), waves 25, widest 5, >2 waves 11, initial 2, avg turns 5.47, longest 42, cross T>B 1/B>T 3, L>R 3/R>L 2, regions 9, streak 5, backtrack H11/V12, seed campaign.
161. 161_Level_EZ_129 [EASY]: 36x35 LShape, DX complexity 100%, 46 arrows, 731/731 cells (100.0 %), waves 23, widest 4, >2 waves 5, initial 3, avg turns 4.28, longest 31, cross T>B 3/B>T 0, L>R 2/R>L 0, regions 5, streak 8, backtrack H12/V11, seed campaign.
162. 162_Level_EZ_130 [EASY]: 37x35 TwinBlocks, DX complexity 100%, 63 arrows, 1134/1134 cells (100.0 %), waves 31, widest 4, >2 waves 9, initial 2, avg turns 5.14, longest 39, cross T>B 4/B>T 7, L>R 3/R>L 0, regions 10, streak 7, backtrack H13/V13, seed campaign.
163. 163_Level_EZ_131 [EASY]: 37x36 Rectangle, DX complexity 100%, 73 arrows, 1260/1260 cells (100.0 %), waves 37, widest 6, >2 waves 6, initial 2, avg turns 4.84, longest 36, cross T>B 2/B>T 3, L>R 5/R>L 4, regions 13, streak 6, backtrack H15/V12, seed campaign.
164. 164_Level_EZ_132 [EASY]: 38x36 Staircase, DX complexity 100%, 53 arrows, 793/793 cells (100.0 %), waves 26, widest 5, >2 waves 8, initial 2, avg turns 4.79, longest 33, cross T>B 1/B>T 1, L>R 3/R>L 1, regions 5, streak 8, backtrack H13/V11, seed campaign.
165. 165_Level_H_17 [HARD]: 38x36 Rectangle, DX Flow complexity 100%, 79 arrows, 1368/1368 cells (100.0 %), waves 33, widest 6, >2 waves 11, initial 2, avg turns 4.82, longest 41, cross T>B 6/B>T 4, L>R 6/R>L 5, regions 13, streak 6, backtrack H18/V15, seed campaign.
166. 166_Level_EZ_133 [EASY]: 36x35 Cross, DX complexity 100%, 56 arrows, 731/731 cells (100.0 %), waves 26, widest 5, >2 waves 7, initial 2, avg turns 3.86, longest 31, cross T>B 3/B>T 3, L>R 3/R>L 1, regions 4, streak 9, backtrack H12/V11, seed campaign.
167. 167_Level_EZ_134 [EASY]: 37x35 Rectangle, DX complexity 100%, 61 arrows, 1088/1088 cells (100.0 %), waves 31, widest 4, >2 waves 9, initial 3, avg turns 4.13, longest 36, cross T>B 3/B>T 5, L>R 5/R>L 4, regions 12, streak 6, backtrack H14/V14, seed campaign.
168. 168_Level_EZ_135 [EASY]: 37x36 Dumbbell, DX complexity 100%, 50 arrows, 731/731 cells (100.0 %), waves 30, widest 4, >2 waves 3, initial 2, avg turns 4.00, longest 35, cross T>B 10/B>T 7, L>R 0/R>L 3, regions 12, streak 5, backtrack H19/V19, seed campaign.
169. 169_Level_EZ_136 [EASY]: 38x36 Rectangle, DX complexity 100%, 86 arrows, 1368/1368 cells (100.0 %), waves 33, widest 7, >2 waves 12, initial 2, avg turns 4.20, longest 38, cross T>B 3/B>T 3, L>R 9/R>L 4, regions 13, streak 7, backtrack H14/V14, seed campaign.
170. 170_Level_VH_17 [VERY HARD]: 38x37 Rectangle, DX Flow complexity 100%, 69 arrows, 1260/1260 cells (100.0 %), waves 38, widest 3, >2 waves 8, initial 3, avg turns 4.80, longest 42, cross T>B 3/B>T 6, L>R 5/R>L 3, regions 9, streak 9, backtrack H20/V17, seed campaign.
171. 171_Level_EZ_137 [EASY]: 36x35 LShape, DX complexity 100%, 51 arrows, 708/708 cells (100.0 %), waves 29, widest 5, >2 waves 6, initial 3, avg turns 3.71, longest 31, cross T>B 1/B>T 1, L>R 1/R>L 2, regions 4, streak 10, backtrack H18/V13, seed campaign.
172. 172_Level_EZ_138 [EASY]: 37x35 TwinBlocks, DX complexity 100%, 56 arrows, 987/987 cells (100.0 %), waves 32, widest 4, >2 waves 5, initial 2, avg turns 5.63, longest 38, cross T>B 3/B>T 2, L>R 2/R>L 1, regions 8, streak 6, backtrack H9/V19, seed campaign.
173. 173_Level_EZ_139 [EASY]: 37x36 Rectangle, DX complexity 100%, 77 arrows, 1260/1260 cells (100.0 %), waves 36, widest 5, >2 waves 14, initial 2, avg turns 4.48, longest 38, cross T>B 2/B>T 2, L>R 2/R>L 7, regions 13, streak 7, backtrack H14/V17, seed campaign.
174. 174_Level_EZ_140 [EASY]: 38x36 Staircase, DX complexity 100%, 74 arrows, 1080/1080 cells (100.0 %), waves 33, widest 6, >2 waves 10, initial 3, avg turns 4.38, longest 37, cross T>B 3/B>T 4, L>R 5/R>L 2, regions 10, streak 7, backtrack H11/V12, seed campaign.
175. 175_Level_H_18 [HARD]: 39x37 Rectangle, DX Flow complexity 100%, 77 arrows, 1368/1368 cells (100.0 %), waves 35, widest 5, >2 waves 9, initial 2, avg turns 4.43, longest 44, cross T>B 5/B>T 2, L>R 3/R>L 2, regions 11, streak 7, backtrack H20/V18, seed campaign.
176. 176_Level_EZ_141 [EASY]: 36x35 Cross, DX complexity 100%, 49 arrows, 708/708 cells (100.0 %), waves 27, widest 4, >2 waves 6, initial 2, avg turns 4.80, longest 31, cross T>B 4/B>T 3, L>R 9/R>L 1, regions 12, streak 4, backtrack H15/V12, seed campaign.
177. 177_Level_EZ_142 [EASY]: 37x35 Rectangle, DX complexity 100%, 81 arrows, 1295/1295 cells (100.0 %), waves 37, widest 4, >2 waves 13, initial 2, avg turns 4.37, longest 36, cross T>B 7/B>T 6, L>R 2/R>L 4, regions 9, streak 7, backtrack H23/V14, seed campaign.
178. 178_Level_EZ_143 [EASY]: 37x36 Dumbbell, DX complexity 100%, 52 arrows, 859/859 cells (100.0 %), waves 31, widest 5, >2 waves 3, initial 3, avg turns 3.25, longest 35, cross T>B 4/B>T 6, L>R 0/R>L 2, regions 10, streak 6, backtrack H13/V15, seed campaign.
